Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Recreation,"Tourism, Culture and Sport",Hamilton,Hamilton C,Under construction,23-Jan,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by replacing aged splash pad and infrastructure at Eastwood Park with a new, safe, accessible and efficient splash pad for extended community use. ",,Hamilton,Central,111 Burlington Street East,L8L 4G9,,"$500,000 ",,Yes,,,,43.271704,-79.855631,
Communities,Transportation,Hamilton,Electric Vehicle Charging Station at Centre on Barton,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 2 charging station,Hamilton,Central,1275 Barton St E,,,0,,,,,,43.25068,-79.80779,
Transit,Transportation,Hamilton,Dispatching and AVL Hardware and Software Replacement,Planning,23-Dec,"Replace the mobile data terminals and stop announcement hardware, multiple video screens and PA systems and dispatching and AVL hardware on 267 buses. ",Improved quality and safety of the transit system,Hamilton,Central,,,,"$9,000,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Hamilton,Construction of Active Transportation Connections,Planning,27-Oct,"Project consists of seven strategic active transportation elements. These include: •	a 185m active transportation bridge that crosses the Lincoln Alexander Parkway, connecting McQuesten Park and Limeridge Mall, •	1.4 km of new cycle tracks along Bay Street;•	1.2 km Mountain Brow multi-use path;•	2.2 km Dundas St. multi-use path;•	Approximately 17.765 km of new sidewalks in various locations;•	500 new bicycle parking spaces; and•	30 new bike-share stations.",Improved capacity,Hamilton,Central,,,,"$9,800,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Hamilton,Implement Priority Bus Measures along A-Line Corridor,Planning,27-Mar,"Project scope to include 5 new queue jump lanes, transit signal priority at ~26 intersections and customer amenity enhancements including enhanced shelters, real time bus info, seating and street furniture at approximately 19 transit stops along the corridor. Also includes approximately 17.7 linear kilometres of new sidewalk along 12 different segments of roadway.",Improved capacity,Hamilton,Central,,,,"$8,500,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Hamilton,Replacement of Birch Avenue Bridge and Associated Road Works/Construction of Salt Management Facility,Planning,27-Oct,"The project involves replacing a rail bridge, completing associated road works, and constructing a salt management facility. The associated road works include the reconstruction of 800 metres of roadway to: lower the road elevation to meet MTO clearance standards, install a storm water pump station and applicable pipe reconfiguration to manage road drainage, upgrade approximately 97 metres of water main in coordination with road/bridge work to support the new MSF, and to convert the roadway to two-way traffic flow. In addition, the project will also construct a salt management facility to replace the current facility to be demolished at the site of the new MSF.",Improved Quality and/or safety of existing or future transit systems.,Hamilton,Central,,,,"$39,965,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Hamilton,Expansion of Transit Fleet to Support Service Growth,Planning,27-Oct,Theis project includes the purchase of up to 85 forty-foot Compressed Natural Gas buses.,Improved capacity of public transit infrastructure.,Hamilton,Central,,,,"$73,334,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Hamilton,Replacement of Transit Fleet,Planning,27-Oct,This project includes the procurement of approximately 72 forty-foot Compressed Natural Gas (CNG) buses and 20 sixty-foot CNG buses to replace buses that have reached the end of their lifecycle.,Improved capacity of public transit infrastructure.,Hamilton,Central,,,,"$114,076,999 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Hamilton,New Maintenance & Storage Facility,Planning,25-Aug,"The project scope includes construction of a new, sixty thousand (60,000) square meter (sq. m) maintenance and storage facility with major project components such as:- a thirty (30) bay maintenance area,- two (2) indoor compressed natural gas fueling lanes,- two (2) bus wash rack systems,- storage for two hundred (200) conventional size buses,- approximately 4000 sq. m of administration space, and- a four (4) level parking structure to accommodate approximately four hundred (400) parking spaces for employees.",Improved capacity of public transit infrastructure.,Hamilton,Central,,,,"$264,295,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Hamilton,LRT-Hamilton ,Planning,To Be Determined,New Rapid Transit Line,"The Ontario government and the federal government will be contributing $1.7 billion to advance the Hamilton Light Rail Transit (LRT) project. Through this partnership, the province and federal government are taking a significant step towards advancing this shovel-ready LRT project that will offer frequent and reliable connections on the 14-kilometre line from Eastgate Square through downtown Hamilton to McMaster University.",Hamilton,Central,,,,"$3,400,000,000 ",,Yes,Yes,,,43.251325,-79.838424,
Transit,Transportation,Hamilton,Lakeshore West Corridor - Confederation GO Station,Planning,To Be Determined,GO Expansion - Early Works,New GO Station in Hamilton on Lakeshore West Corridor.,Hamilton,Central,397 Centennial Parkway,,,0,,,,,http://www.metrolinx.com/en/greaterregion/projects/confederation-go.aspx,43.24215052,-79.75972558,
Recreation,Infrastructure,Hanover,Trail Bridges Replacement  Hanover Community Trails System,Planning,23-Sep,"The project will replace three trail bridges and rehabilitate another in the Hanover Community Trails System. The trail rehabilitation will improve the quality and accessibility of recreational infrastructure, and will promote active transportation.",,Grey,Southwest,341 10th Street/Rue,N4N1P5,,"$2,151,600 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.142523,-81.039196,
Roads and bridges,Infrastructure,Hanover,Roundabout Construction,Planning,24-Jul,Construct a roundabout at the intersection of Grey County Roads 3 and 4 in West Grey. ,,Grey,Southwest,,,,"$1,516,606 ",Yes,Yes,Yes,,,44.157,-80.954,
Recreation,"Tourism, Culture and Sport",Hanover,Hanover T,Under construction,23-Feb,"Our Municipality, with a $160,700 Community Building Fund – Capital stream grant over 12 months, will address a community need by purchasing and installing accessible playground equipment for two community parks to replace outdated equipment and improve accessibility for community members. ",,Grey,Southwest,310 17th Avenue,NAN 0A1,,"$160,700 ",,Yes,,,,44.150361,-81.017118,
Communities,Transportation,Hanover,Electric Vehicle Charging Station at Sarnia Harbour,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Grey,Southwest,639 10th St,,,0,,,,,,44.1536,-81.01525,
Transit,Transportation,Hanover,Specialized Transit Vehicles,Planning,23-Dec,Purchase 8 vans and 3 buses.,Improved safety and quality of the system.,Grey,Southwest,,,,"$821,563 ",Yes,Yes,Yes,,,,,
Broadband,Infrastructure,Hastings County,Eastern Ontario Regional Network (EORN) Cellular Gap Project,Under construction,25-Aug,"Description: A regional project adding new cellular infrastructure to increase network coverage and capacity across eastern Ontario. Note that the funding listed below is for the entire project, not just this municipality. ","Expanding reliable cellular services which are essential to support economic development, improve public safety and connect with others",Hastings,East,,,,"$300,000,000 ",Yes,Yes,Yes,Yes,https://www.eorn.ca/en/projects/improving-cell-service.aspx,44.819102,-77.614908,
Broadband,Infrastructure,Hastings County,Hastings ICON Project,Planning,24-Jun,New broadband construction by Cogeco,Providing reliable internet access,Hastings,East,,,,"$9,406,270 ",,Yes,,Yes,,44.3698834,-77.3809381,
Roads and bridges,Transportation,Hastings County,Bay of Quinte Skyway Bridge Rehabilitation,Under construction,24-Jun,Replace the superstructure of the Bay of Quinte Skyway Bridge,,Hastings,East,,,Highway 49,"$63,000,000 ",,Yes,,,,44.17382081,-77.08654282,
Recreation,Infrastructure,Havelock-Belmont-Methuen,Havelock - Belmont - Methuen Community Centre Improvements,Planning,26-Dec,"The project involves multiple upgrades, including the installation of an elevator and other access improvements. In addition, the roof system will be replaced, the refrigeration system improved, the basement area will be repurposed to create new space for recreational events and programming, and the fire alarm and suppression systems will be replaced. The project will support the continued delivery of recreational services and programming to the community.",,Peterborough,East,1 Ottawa Street/Rue East/Est,K0L1Z0,,"$5,077,250 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61090/en-nr-pete,44.436467,-77.878658,
Education,Education,Hawkesbury,école élémentaire publique Nouvel-Horizon,Under construction,2022,Expansion of existing school,"New classroom addition of 92 pupil places for a growing school, including 15 child care spaces",Prescott and Russell,East,433 CARTIER BLVD,K6A 1V9,,"$4,573,819 ",,Yes,,Yes,,45.60632,-74.60125,
Communities,Infrastructure,Hawkesbury,Hawkesbury Water Treatment Plant,Planning,23-Apr,Upgrade the clarification process in the water treatment plant by replacing deteriorating equipment and providing life-cycle upgrades to other equipment.,"Improve the quality of treated water, minimizing the risk of boil water advisories, and ensuring the long-term functioning of the plant.",Prescott and Russell,East,600 Higginson St,K6A1H1,,"$1,974,124 ",Yes,Yes,Yes,,,45.611527,-74.624784,
Communities,Infrastructure,"Head, Clara and Maria",Rehabilitation of Community Centre and Adjoining Library Facility,Planning,2021,"Project work includes installing LED lighting, replacing windows, and increasing insulation in both the town community centre and library. Renovations will also replace the carpet in the library, and upgrade washroom facilities in the community centre to provide better accessibility. These improvements will provide greater access to quality community, cultural, and recreation programing for area residents, seniors, and vulnerable populations, ensuring that user needs are met.",,Renfrew,East,15 Township Hall Road,K0J2K0,,"$27,058 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000657/canada-and-ontario-invest-over-2-million-in-improved-community-culture-and-recreational-infrastructure-in-eastern-ontario,46.212619,-77.893298,
Recreation,Infrastructure,Hearst,Rehabilitation and Improvements to the Hearst Claude-Larose Recreation Centre,Planning,24-Mar,"Rehabilitation of the arena and pool’s equipment and infrastructure will improve service, cut energy costs, prolong the equipment’s and infrastructure's life expectancy, enhance accessibility for users and improve the safety features of the facility for workers and users.",,Cochrane,Northeast,925 rue Alexandra,P0L1N0,,"$4,704,480 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,49.690732,-83.866638,
Broadband,Infrastructure,Hiawatha First Nation,Nexicom Connects Hiawatha First Nations - NCHFN  ICON Project,Planning,23-Jun,New broadband construction by Nexicom,Providing reliable internet access,,East,,,,"$1,638,968 ",,Yes,,Yes,,44.1781931,-78.2247647,
Communities,Infrastructure,Hiawatha First Nation,Hiawatha First Nation,Planning,23-Dec,Rehabilitation and upgrade of the communal drinking water systems,,,East,123 Paudash Street,K9J0E6,,"$1,606,723 ",Yes,Yes,Yes,,,44.173,-78.211,
Roads and bridges,Infrastructure,Hiawatha First Nation,Paudash Street Reconstruction,Planning,2022,"The rehabilitation of approximately 2 kilometres of Paudash Street, between Cowe Street and Lakeshore Road, will include the installation of 30 culverts and a multi-use pathway.","The upgrades will improve road safety for motorists, cyclists and pedestrians, and address drainage issues.",,East,123 Paudash Street,K9J0E6,,"$4,493,702 ",Yes,Yes,Yes,,,44.1789,-78.205084,
Roads and bridges,Infrastructure,Highlands East,Replacement of the South Wilberforce Bridge,Planning,22-Dec,"The replacement of the one-lane South Wilberforce Bridge with a new, two-lane structure to improve safety and traffic flow.",,Haliburton,East,PO Box 295,K0L3C0,,"$1,312,033 ",Yes,Yes,Yes,,,44.9956,-78.2205,
Recreation,Infrastructure,Hornepayne,Community Centre- Upgrading and Expansion of current Facility,Planning,24-Dec,"Upgrading the hockey arena, curling club and youth space, and expanding the community centre to add a seniors’ socialization space with a community kitchen, a public library, fitness facility and a multi-use gym and meeting space. This will transform the existing community arena into a community centre and hub.",,Algoma,Northeast,68 Front Street/Rue,P0M1Z0,,"$4,682,237 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,49.220556,-84.786389,
Roads and bridges,Infrastructure,Hornepayne,Refurbishment of the Hornepayne Airport Runway and Terminal,Planning,22-Dec,"Refurbishing the airport's runway will include repaving, replacing runway lighting with an LED system, and installing a new fuel tank and pumping system.","This will improve the safety and reliability for passengers, reduce service interruptions and extend the runway's lifespan.",Algoma,Northeast,68 Front Street/Rue,P0M1Z0,,"$4,523,252 ",Yes,Yes,Yes,,,49.193055,-84.759444,
Recreation,Infrastructure,Hudson,Community Centre Rehabilitation,Planning,2021,"Rehabilitation of the centre includes removing and replacing existing shingles, flashing, eaves, and damaged roofing, and removing and replacing existing floor tiles with durable commercial grade flooring. Replacing both the existing roof and floor of the centre will allow both residents and visitors of the region to have access to a safe recreational facility.",,Timiskaming,Northeast,278007 MILBERTA RD,P0J1P0,,"$87,500 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,47.538703,-79.802019,
Child care,Education,Huntsville,St. Mary's Catholic Elementary School,Under construction,23-Jan,Expansion of existing school,Addition to accommodate 39 child care spaces,Muskoka,Central,36 SILVERWOOD DR,P1H 1N1,,"$1,159,591 ",,Yes,,,,45.32988,-79.23415,
Transit,Transportation,Huntsville,Bus Purchase,Planning,23-Dec,Purchase one additional bus and replace a para-transit bus.,Expanded regular transit routes and increased service.,Muskoka,Central,,,,"$413,000 ",Yes,Yes,Yes,,,,,
Broadband,"Agriculture, Food and Rural Affairs",Huron County,High Speed Internet Expansion,Planning,23-Jun,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,Huron,Southwest,,,,0,,,,,,,,
Broadband,Infrastructure,Huron County,Porter's Hill SWIFT Broadband Project,Under construction,23-Feb,New broadband construction by Tuckersmith Communications,Providing reliable internet access for 235 premises,Huron,Southwest,,,,"$1,923,825 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.610478,-81.6288413,
Broadband,Infrastructure,Huron County,Summerhill SWIFT Broadband Project,Under construction,23-Feb,New broadband construction by Tuckersmith Communications,Providing reliable internet access for 121 premises,Huron,Southwest,,,,"$1,118,941 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.6799505,-81.5482024,
Broadband,Infrastructure,Huron County,S. Blue Water Beach SWIFT Broadband Project,Under construction,23-Jun,New broadband construction by Hurontel,Providing reliable internet access for 185 premises,Huron,Southwest,,,,"$1,615,906 ",,,,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.6641164,-81.7017173,
Broadband,Infrastructure,Huron County,Hutton Heights SWIFT Broadband Project,Under construction,23-Jun,New broadband construction by Hurontel,Providing reliable internet access for 177 premises,Huron,Southwest,,,,"$2,081,525 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.8421531,-81.3839974,
Broadband,Infrastructure,Huron County,South Benmiller SWIFT Broadband Project,Under construction,23-Jun,New broadband construction by Hurontel,Providing reliable internet access for 125 premises,Huron,Southwest,,,,"$1,093,725 ",,,,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.6916089,-81.6558448,
Broadband,Infrastructure,Huron County,Wroxeter SWIFT Broadband Project,Under construction,2022,New broadband construction by Wightman Telecom,Providing reliable internet access for 668 premises,Huron,Southwest,,,,"$3,686,041 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.8690152,-81.1038378,
Recreation,Infrastructure,Huron East,Regional Community Centres in Partnership with Parry Sound and Huron East,Planning,2021,"The existing facility will be expanded to include an enhanced fitness centre, kitchen facilities, auditorium and new dressing rooms that meet Accessibility for Ontarians with Disabilities Act requirements. With this funding, Huron East will also replace the aging facility roof. This project will help improve access to modern recreational infrastructure and better meet the needs of the municipality and surrounding communities.",,Huron,Southwest,72 Main Street South,N0K1W0,,"$4,788,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000278/canada-and-ontario-invest-over-26-million-to-support-regional-community-centres-in-partnership-with-parry-sound-and-huron-east,43.73608,-81.25371,
Roads and bridges,Infrastructure,Huron East,Replacement of the Kinburn Line T13 Bridge,Planning,2021,The project will replace the existing bridge on Kinburn Line with a wider structure to improve safety and traffic flow.,,Huron,Southwest,72 Main Street South,N0K1W0,,"$2,136,665 ",Yes,Yes,Yes,,,43.565918,-81.472175,
Roads and bridges,Transportation,Huron East,Road resurfacing,Planning,2022,Resurface Goderich Street,,Huron,Southwest,,,Highway 8,"$1,662,494 ",,Yes,,,,43.553404,-81.393427,
Broadband,Infrastructure,Huron Shores,Iron Bridge broadband access,Planning,2020,Non-penetrating tower and solar-powered shed with IoT Cellular backup,Broadband access for more than 100 remote residences ,Algoma,Northeast,"7 Bridge St., Iron Bridge",P0R 1H0,,"$63,300,000 ",,Yes,,,,46.2799086,-83.2238277,
Recreation,"Tourism, Culture and Sport",Huron-Kinloss,Huron-Kinloss Tp,Under construction,23-Mar,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address public health requirements identified through COVID-19 by renovating the main entrance to include accessible doors and adding two accessible dressing rooms to meet the needs of community members. ",,Bruce,Southwest,17 Queen St,N0G 2R0,,"$500,000 ",,Yes,,,,44.073848,-81.5809,
Child care,Education,Ignace,Ignace Public Elementary School,Planning,2022,Renovation of existing school,Renovation to accommodate 15 child care spaces,Kenora,Northwest,194 DAVEY LAKE RD,P0T 1T0,,"$909,201 ",,Yes,,,,49.40932797,-91.66086208,
Broadband,Infrastructure,Ignace,Ignace FTTH Project,Planning,23-Feb,New broadband construction,Providing reliable internet access,Kenora,Northwest,,,,"$1,932,665 ",,Yes,Yes,,,49.4116863,-91.6652764,
Education,Education,Innisfil,Innisfil South Catholic Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 493 students in a growing community, including the construction of 49 child care spaces",Simcoe,Central,MCMASTER AVE,TBD,,"$13,431,058 ",,Yes,,,,,,
Education,Education,Innisfil,Lake Simcoe Public Elementary School,Planning,23-Jan,Expansion of existing school,"New classroom addition of 190 pupil places for a growing school, including 39 child care spaces",Simcoe,Central,1701 WEBSTER BLVD,L9S 2A6,,"$5,408,786 ",,Yes,,,,44.29789,-79.55761,
Education,Education,Innisfil,Killarney Beach Public Elementary School,Planning,2022,Expansion of existing school,New classroom addition of 184 pupil places for a growing school,Simcoe,Central,820 20TH SIDE RD,L0L 1W0,,"$7,183,691 ",,Yes,,,,44.25778174,-79.5645365,
Recreation,"Tourism, Culture and Sport",Innisfil,Innisfil T,Under construction,23-Feb,"Our Municipality, with a $324,700 Community Building Fund – Capital stream grant over 12 months, will address a community need by replacing cooling system, fire alarms, roof, interior and exterior doors, flooring and ceiling tiles throughout the South Innisfil Community Centre. ",,Simcoe,Central,1354 Killarney Beach Rd,L0L 1W0,,"$324,700 ",,Yes,,,,44.263862,-79.556787,
Communities,Transportation,Innisfil,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Simcoe,Central,940 Innisfil Beach Rd,,,0,,,,,,44.31545,-79.54707,
Recreation,Infrastructure,Iroquois Falls,Renovation and Rehabilitation of the Iroquois Falls Recreation Complex,Planning,25-Mar,"Renovation of the complex involves upgrading pool boilers and the condenser cooling tower; enhancing the building envelope, rehabilitating the pool’s ceiling and insulation, upgrading lighting in the ladies gym to LED in addition to the replacement of plumbing and plumbing fixtures. The arena scoreboard and the multi-use service tractor will also be replaced",,Cochrane,Northeast,253 Main Street/Rue,P0K1G0,,"$778,148 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,48.7621,-80.683,
Communities,Infrastructure,Iskatewizaagegan #39 First Nation,Rehabilitation of the Water Treatment Plant,Under construction,23-Sep,"Rehabilitate the water treatment plant involving the replacement or upgrade of obsolete/ defective equipment including high lift pumps, low lift pumps, backup power generator. ","Reduced boil water advisory incidents and emergencies, and improved reliability of the water supply.",,Northwest,,,,"$96,339 ",,Yes,Yes,Yes,,49.61546,-95.10971,
Communities,Infrastructure,Iskatewizaagegan #39 First Nation,Iskateewizaagegan No 39 First Nation,Planning,2022,Water distribution renewal and fire protection upgrades,,,Northwest,Box 1,P0X1E0,,"$1,645,545 ",Yes,Yes,Yes,,,49.615417,-95.109508,
Communities,Infrastructure,James,Elk Lake James Street Stormwater Rehabilitation,Planning,2021,"Installation of new 300mm diameter storm sewers, 200mm diameter subdrains and precast concrete catch basins on the upstream portion of Main and Elk Streets. This will reduce the risk of contamination to the river and property damage for residents.",,Timiskaming,Northeast,33 THIRD STREET EAST,P0J1G0,,"$845,610 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,47.73333,-80.32864,
Recreation,Infrastructure,James,Outdoor Rink Roof Project,Planning,2020,Add a roof to the oudoor rink.,,Timiskaming,Northeast,33 THIRD STREET EAST,P0J1G0,,"$631,875 ",Yes,Yes,Yes,,,47.727734,-80.334032,
Communities,"Tourism, Culture and Sport",Johnson,Johnson Tp,Under construction,23-May,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by retrofitting the exterior siding, roof and doors, along with repairing old concrete and equipment to extend the life of our arena. ",,Algoma,Northeast,1 Cameron Drive,P0R 1E0,,"$500,000 ",,Yes,,,,46.34659,-83.9289,
Communities,Northern Development,Joly,Eagle Lake Biathlon Club - New Centre of Excellence,Under construction,23-Mar,Inital development of a biathlon training centre and centre of excellence for future racing events,In process of developing the trails and associated infrastructure,Parry Sound,Northeast,345 Peacock Road,P0A 1Z0,,"$95,540 ",,Yes,,,,45.773954,-79.38947,
Roads and bridges,Infrastructure,Kapuskasing,Rehabilitation of Two Bridges on Kapuskasing River,Planning,2022,"Rehabilitating the East and West bridges by repairing, replacing and waterproofing various sections will improve safety and reliability, reduce service interruptions for commuters, and ensure accessibility to essential services for neighbouring communities.",,Cochrane,Northeast,88 Riverside Dr,P5N1B3,,"$3,764,550 ",Yes,Yes,Yes,,,49.412545,-82.429498,
Roads and bridges,Transportation,Kapuskasing,Resurfacing of Government Road (Gurney Road Easterly),Under construction,23-Mar,,,Cochrane,Northeast,,,11,"$3,000,000 ",,Yes,,,,49.405102,-82.39124,
Education,Education,Kawartha Lakes,Scott Young Public Elementary School,Planning,23-Jan,Expansion of existing school,"New classroom addition of 52 pupil places to accommodate students as a result of consolidation, including 49 child care spaces and 1 EarlyON room",Kawartha Lakes,East,27 WALNUT ST,K0L 2W0,,"$3,490,944 ",,Yes,,,,44.29932,-78.56551,
Broadband,Infrastructure,Kawartha Lakes,Eastern Ontario Regional Network (EORN) Cellular Gap Project,Under construction,25-Aug,"Description: A regional project adding new cellular infrastructure to increase network coverage and capacity across eastern Ontario. Note that the funding listed below is for the entire project, not just this municipality. ","Expanding reliable cellular services which are essential to support economic development, improve public safety and connect with others",Kawartha Lakes,East,,,,"$300,000,000 ",Yes,Yes,Yes,Yes,https://www.eorn.ca/en/projects/improving-cell-service.aspx,44.438833,-78.774964,
Broadband,Infrastructure,Kawartha Lakes,Kawartha Lakes - Omemee Broadband Project,Planning,24-Jun,New broadband construction by Cogeco Connexion,Providing reliable internet access,Kawartha Lakes,East,,,,"$3,174,981 ",,Yes,Yes,Yes,,44.3642257,-78.5972053,
Transit,Transportation,Kawartha Lakes,Transit Improvement and Expansion,Planning,24-Dec,"Expand a bus maintenance facility, purchase 7 buses, create a new transit hub, and create 20 additional transit stops, additional bike racks and bike corrals as well as various upgrades.",Expanded and enhanced public transit system.,Kawartha Lakes,East,,,,"$1,735,020 ",Yes,Yes,Yes,,,,,
Child care,Education,Kenora,St. Louis Catholic Elementary School,Planning,2022,Renovation of existing school,Renovation to accommodate 15 child care spaces,Kenora,Northwest,420 8TH ST,P0X 1C0,,"$427,859 ",,Yes,,,,49.75911,-94.5565,
Education,Education,Kenora,Nestor Falls Public Elementary School,Planning,27-Sep,Construction of new school,New replacement facility to accommodate 46 students,Kenora,Northwest,TBD,P0X 1K0,,"$2,638,903 ",,Yes,,,,,,
Recreation,Infrastructure,Kenora,Central Community Club Recreation Facility,Planning,2022,"Replace the boards surrounding the hockey rink, pave and line the ice surface, construct a players' bench area and upgrade exterior lights.",Restore access to and improve the quality of free outdoor recreation,Kenora,Northwest,c/o SITE 230 COMP4 RR 2,P9N3W8,,"$814,000 ",Yes,Yes,Yes,,,49.767,-94.4894,
Communities,Northern Development,Kenora,Lake of the Woods Railroaders Museum - New Facility and Exhibit Upgrades,Under construction,23-Sep,"upgrade existing outdoor railway displays and artifacts including constructing a platform roof over the outdoor displays, construct a repair shop, purchase and install technology equipment including wi-fi internet, install a security system and lighting, perform model railway upgrades, and perform accessibility upgrades",The project will Increase visitor appeal to the facility,Kenora,Northwest,Intersection Minnesota Street and Tanscanada Hwy ,P0X 1C0,,"$56,250 ",,Yes,,Yes,,49.7614299,-94.5280312,
Recreation,"Tourism, Culture and Sport",Kenora,Kenora C,Under construction,23-Jan,"Our Municipality, with a $260,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by renovating Norman Park to create a fully accessible playground for users of all ages and abilities to enjoy. ",,Kenora,Northwest,35 Minnesota Street,P9N 3W5,,"$260,000 ",,Yes,,,,49.762115,-94.5252,
Communities,Transportation,Kenora,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Kenora,Northwest,900 Highway 17 E,,,0,,,,,,49.762374,-94.477133,
Roads and bridges,Transportation,Kenora District,"Crystal River Bridge, 47 km north of Hwy 17, north of Ignace",Under construction,2022,Bridge replacement,,Kenora,Northwest,,,,0,,Yes,,,,49.69498896,-91.23524256,
Roads and bridges,Transportation,Kenora District,"2 km south of Hwy 17 southerly, west of Kenora",Planning,23-Sep,"Reconstruction, Realignment",,Kenora,Northwest,,,,0,,Yes,,,,49.70215205,-95.06863151,
Roads and bridges,Transportation,Kenora District,"English River westerly, east of Ignace",Under construction,2022,"Resurfacing, Paved shoulders",,Kenora,Northwest,,,,0,,Yes,,,,49.23359216,-90.97069735,
Communities,Infrastructure,Kiashke Zaaging Anishinaabek First Nation,Wastewater planning study ,Under construction,23-Sep,Complete the planning and detailed design for an upgrade or expansion to the community’s sewage lagoon and purchase a flow meter,,Thunder Bay,Northwest,,,,"$98,820 ",,Yes,Yes,Yes,,49.800915,-89.106039,
Communities,Infrastructure,Kiashke Zaaging Anishinaabek First Nation,Kiashke Zaaging Anishinaabek First Nation,Planning,2022,Gull Bay lagoon expansion,,Thunder Bay,Northwest,General Delivery,P0T1P0,,"$2,760,757 ",Yes,Yes,Yes,,,48.82139,-89.118333,
Roads and bridges,Infrastructure,Kiashke Zaaging Anishinaabek First Nation,Gull Bay Roads Rehabilitation,Planning,2021,"The reconstruction of a portion of roads on reserve will include improvements to the main highway entrance, resurfacing, grading, widening and other safety modifications. This will ensure the safety and security of motorists and pedestrians, and extend the lifespan of the roads.",,Thunder Bay,Northwest,General Delivery,P0T1P0,,"$3,106,057 ",Yes,Yes,Yes,,,49.79875,-89.11388,
Communities,"Agriculture, Food and Rural Affairs",Killarney,Killarney Landfill Leachate Collection and Treatment System,Under construction,2021,Installation of a leachate collection and treatment system at the Killarney landfill site.,Diverting recyclable waste,Sudbury,Northeast,1111 Highway 637,P0M 2A0,,"$553,024 ",Yes,Yes,Yes,,,45.991045,-81.493349,
Education,Education,Kincardine,St. Anthony Catholic Elementary School,Under construction,23-Jan,Expansion of existing school,"New classroom addition of 190 pupil places for a growing school, including 78 child care spaces",Bruce,Southwest,709 RUSSELL ST,N2Z 1R1,,"$10,706,576 ",,Yes,,Yes,,44.17023,-81.62284,
Education,Education,Kincardine,Kincardine Public Secondary School,Planning,25-Sep,Construction of new school,New facility to accommodate 881 students in a growing community,Bruce,Southwest,TBD,TBD,,"$26,450,989 ",,Yes,,,,,,
Health care,Health,Kincardine,South Bruce Grey Health Centre - Kincardine Site Redevelopment,Planning,26-Jun,"Renovations and expansion to the emergency department, radiation decontamination/treatment room, diagnostic imaging and lab, as well as major infrastructure upgrades",Improved access to health care services for area residents,Bruce,Southwest,"21 McGivern Street West, P.O. Box 1300",N2Z 1G6,,0,,Yes,,Yes,,44.12215681,-81.15304603,
Broadband,Infrastructure,Kincardine,Kincardine Shoreline Fibre-optic ICON Project,Planning,24-Mar,New broadband construction by Bruce Telecom,Providing reliable internet access,Bruce,Southwest,,,,"$2,223,470 ",,Yes,,Yes,,44.381322,-81.4868378,
