Date Reported,Time Reported,Reference Number,Site Municipality,Contaminant Name,Receiving Media,Health Impact,Environmental Impact,Health/Environmental Consequence,Sector Type,Source Type,Source/Sector Type,Incident Event,Incident Reason
9/23/2021,12:00 PM,1-1A1N6B,COLLINGWOOD,LEACHATE,Land,1 Minor Health Impact,1 Minor Impact,,WASTE TREATMENT AND DISPOSAL,Waste Disposal Site,,Unknown / N/A,Unknown / N/A
9/23/2021,12:41 PM,1-1A2WFA,ADJALA-TOSORONTIO,SEDIMENT,Surface Water,1 Minor Health Impact,1 Minor Impact,,RESIDENTIAL BUILDING CONSTRUCTION,Unknown / N/A,,Weather Event,Unknown / N/A
9/23/2021,1:25 PM,1-1A3AET,"SUDBURY DISTRICT, UNORGANIZED",DIESEL FUEL,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/23/2021,9:38 PM,1-1A3AWI,QUINTE WEST,CREOSOTE,Surface Water,1 Minor Health Impact,1 Minor Impact,,WOOD PRESERVATION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/22/2021,8:20 AM,1-19SF6F,KITCHENER,FREON,Air,1 Minor Health Impact,1 Minor Impact,,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,Valve/Fitting/Piping,,Leak/Break,Equipment failure/malfunction
9/21/2021,9:48 AM,1-19O558,OTTAWA,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
9/21/2021,11:04 AM,1-19OKFU,LONDON,OIL AND GREASE,Ground Water; Land,1 Minor Health Impact,1 Minor Impact,,AUTOMOBILE AND LIGHT-DUTY MOTOR VEHICLE MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/20/2021,9:07 AM,1-19I6P7,HAMILTON,DIESEL FUEL,Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Truck - Tanker,,Accident/Collision,Unknown / N/A
9/20/2021,11:40 AM,1-19KJYI,TORONTO,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,RECREATIONAL VEHICLE (RV) PARKS AND CAMPGROUNDS,Motor Vehicle,,Unknown / N/A,Improper operation
9/20/2021,12:49 PM,1-19KNTW,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
9/20/2021,1:02 PM,1-19L1KO,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
9/19/2021,11:09 AM,1-19ILLJ,ST. CLAIR,SOLVENT (N.O.S.),Surface Water,1 Minor Health Impact,1 Minor Impact,,CHEMICAL (EXCEPT AGRICULTURAL) AND ALLIED PRODUCT MERCHANT WHOLESALERS,Valve/Fitting/Piping,,Process Upset,Equipment failure/malfunction
9/16/2021,12:42 PM,1-19B6OS,HAVELOCK-BELMONT-METHUEN,FIRE RETARDENT 301,Surface Water,2 Medium Health Impact,1 Minor Impact,,EXPLOSIVES MANUFACTURING,Other,,Other,Other
9/16/2021,3:27 PM,1-19BY93,BARRIE,"SEWAGE, RAW UNCHLORINATED",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Sewer (Private or Municipal),,Overflow/Surcharge,Blockage (Specify cause)
9/15/2021,6:04 AM,1-193VC1,HAWKESBURY,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,Sewer (Private or Municipal),,Weather Event,Other
9/15/2021,8:09 AM,1-1968BT,CORNWALL,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,Pipeline/Components,,Weather Event,Unknown / N/A
9/15/2021,8:43 AM,1-196AZC,NIAGARA FALLS,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/15/2021,9:26 AM,1-196EGS,MONO,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Overflow/Surcharge,Equipment failure/malfunction
9/15/2021,12:50 PM,1-197SAA,DOURO-DUMMER,"SEWAGE, RAW UNCHLORINATED",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Sewer (Private or Municipal),,Overflow/Surcharge,Improper service/maintenance
9/15/2021,1:54 PM,1-1973HW,NORTH STORMONT,METHANE GAS,Air,1 Minor Health Impact,1 Minor Impact,,WASTE COLLECTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/15/2021,3:31 PM,1-198ZQB,CENTRE WELLINGTON,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,ELEMENTARY AND SECONDARY SCHOOLS,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/14/2021,9:20 AM,1-192CW4,KIRKLAND LAKE,DUSTFALL,Land,1 Minor Health Impact,1 Minor Impact,,SAND AND GRAVEL MINING AND QUARRYING,Pit/Quarry,,Unknown / N/A,Unknown / N/A
9/14/2021,12:08 PM,1-193E9U,HAMILTON,TURBIDITY,Surface Water,1 Minor Health Impact,1 Minor Impact,,MUNICIPAL REGULATORY SERVICES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/13/2021,11:03 AM,1-18Z7I4,LEEDS AND THE THOUSAND ISLANDS,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Truck - Transport/Hauling,,Accident/Collision,Human error
9/13/2021,1:35 PM,1-18ZGHM,ORANGEVILLE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Valve/Fitting/Piping,,Line Strike,Human error
9/10/2021,8:12 PM,1-18V1WH,HAMILTON,NATURAL GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Human error
9/9/2021,7:09 AM,1-18JT4S,INNISFIL,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
9/8/2021,12:53 PM,1-18I8XM,ST. THOMAS,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Unknown / N/A,Unknown / N/A
9/8/2021,4:16 PM,1-18LI4Y,OTTAWA,ODOUR,Air,1 Minor Health Impact,1 Minor Impact,,"CONSTRUCTION, TRANSPORTATION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",Sewer (Private or Municipal),,Other,Improper design
9/7/2021,10:44 AM,1-18EF2T,LONDON,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Human error
9/7/2021,11:24 AM,1-18EFFB,PRINCE EDWARD COUNTY,NATURAL GAS,Air,2 Medium Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Unknown / N/A,Unknown / N/A
9/7/2021,5:44 PM,1-18GGPM,VAUGHAN,"CARBON DIOXIDE, REFRIGERATED LIQUID",Air,1 Minor Health Impact,1 Minor Impact,,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,Valve/Fitting/Piping,,Leak/Break,Equipment failure/malfunction
9/6/2021,2:28 PM,1-18C3H3,MIDDLESEX CENTRE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Human error
9/5/2021,12:41 AM,1-18AEV7,FORT FRANCES,AVIATION FUEL,Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Aircraft,,Unknown / N/A,Unknown / N/A
9/2/2021,10:50 AM,1-185QOU,PRESCOTT,HYDRAULIC OIL,Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,MAINLINE FREIGHT RAIL TRANSPORTATION,Train,,Derailment,Unknown / N/A
9/2/2021,4:30 PM,1-18755J,HAMILTON,"HYDROGEN PEROXIDE AND PEROXYACETIC ACID MIXTURES, STABILIZED WITH < 5% PEROXYACETIC ACID",Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/1/2021,7:36 AM,1-17MU5B,TORONTO,UNKNOWN,Air; Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
9/1/2021,10:51 AM,1-17MWT9,BLACK RIVER-MATHESON,HYDRAULIC OIL,Surface Water,1 Minor Health Impact,1 Minor Impact,,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Container/Drum/Tote,,Process Upset,Equipment failure/malfunction
8/31/2021,12:27 PM,1-17J1ZE,FOLEYET,HYDRAULIC OIL,Land,1 Minor Health Impact,1 Minor Impact,,"HIGHWAY, STREET AND BRIDGE CONSTRUCTION",Unknown / N/A,,Leak/Break,Equipment failure/malfunction
8/31/2021,1:13 PM,1-17HLXH,CHATHAM-KENT,HYDROGEN SULPHIDE,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/31/2021,2:10 PM,1-17J73C,SOUTH STORMONT,OIL AND GREASE,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,GENERAL AUTOMOTIVE REPAIR,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/30/2021,6:43 AM,1-14K2D3,CLARENCE-ROCKLAND,CHLORINE,Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/30/2021,10:57 AM,1-14LQLO,PELHAM,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Other,,Line Strike,Unknown / N/A
8/30/2021,12:32 PM,1-14MTSP,CORNWALL,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,RAILROAD ROLLING STOCK MANUFACTURING,Motor Vehicle,,Leak/Break,Leak
8/30/2021,1:15 PM,1-14MTZF,KING,CHLORINE,Land,2 Medium Health Impact,2 Minor Impact &/or Mortality,,Unknown / N/A,Truck - Transport/Hauling,,Accident/Collision,Unknown / N/A
8/28/2021,2:26 PM,1-14HAJV,OXDRIFT,FIRE SUPPRESSANT,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/26/2021,7:05 AM,1-149G16,SHUNIAH,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Truck - Transport/Hauling,,Unknown / N/A,Unknown / N/A
8/26/2021,9:43 AM,1-14BG67,HAMILTON,GAS OIL,Surface Water,1 Minor Health Impact,1 Minor Impact,,PETROCHEMICAL MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/26/2021,11:04 AM,1-14BGAD,TORONTO,GAS OIL,Air; Land,1 Minor Health Impact,1 Minor Impact,,PETROCHEMICAL MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/26/2021,11:56 AM,1-14BGJ1,ARNPRIOR,CAPROLACTAM,Land,1 Minor Health Impact,1 Minor Impact,,MANUFACTURING AND REPRODUCING MAGNETIC AND OPTICAL MEDIA,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/26/2021,1:44 PM,1-14C5WX,CENTRAL ELGIN,SEWAGE SLUDGE,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/26/2021,4:07 PM,1-14C86C,GREATER SUDBURY,"METHANE, COMPRESSED",Air,1 Minor Health Impact,0 No Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
8/26/2021,8:06 PM,1-14CLAI,CHATHAM-KENT,HYDROGEN SULPHIDE,Land,3 Major Health Impact,2 Minor Impact &/or Mortality,,No-Natural Disaster,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/25/2021,7:56 AM,1-147BCV,SAULT STE. MARIE,PARTICULATES (NOT OTHERWISE SPECIFIED),Air,1 Minor Health Impact,1 Minor Impact,,STEEL FOUNDRIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/25/2021,8:00 AM,1-146V7I,CAMBRIDGE,HYDROCHLORIC ACID,Land,2 Medium Health Impact,2 Minor Impact &/or Mortality,,OTHER WAREHOUSING AND STORAGE,Container/Drum/Tote,,Leak/Break,Unknown / N/A
8/25/2021,8:57 AM,1-147UOU,TIMMINS,DOUSE WATER (PARTICULATE CONTAMINANT),Land,1 Minor Health Impact,1 Minor Impact,,WASTE TREATMENT AND DISPOSAL,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/25/2021,5:49 PM,1-14AF48,OSHAWA,SEALANT (N.O.S.),Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,ROOFING CONTRACTORS,Container/Drum/Tote,,Leak/Break,Equipment failure/malfunction
8/24/2021,1:55 PM,1-145X1C,SAULT STE. MARIE,PARTICULATES (NOT OTHERWISE SPECIFIED),Air,1 Minor Health Impact,1 Minor Impact,,STEEL FOUNDRIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/23/2021,9:15 AM,1-141FLQ,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Unknown / N/A
8/23/2021,12:45 PM,1-141XX6,SELWYN,GREASE (N.O.S.),Surface Water,1 Minor Health Impact,1 Minor Impact,,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,Fuel Pump,,Leak/Break,Leak
8/23/2021,1:25 PM,1-1429WJ,LASALLE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
8/23/2021,4:00 PM,1-143D3F,WINDSOR,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
8/20/2021,3:42 PM,1-13Y3HJ,GREENSTONE,CHLORINE (COMPRESSED GAS),Air,1 Minor Health Impact,1 Minor Impact,,OTHER GASOLINE STATIONS,Tank - Above Ground,,Leak/Break,Unknown / N/A
8/20/2021,8:49 PM,1-13YKBW,CHATHAM-KENT,NATURAL GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
8/19/2021,9:09 PM,1-13UDKF,MISSISSAUGA,"SODIUM HYDROXIDE, SOLID",Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Container/Drum/Tote,,Leak/Break,Human error
8/18/2021,6:13 PM,1-13QBQ3,OTONABEE-SOUTH MONAGHAN,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Leak/Break,Equipment failure/malfunction
8/17/2021,11:05 AM,1-13LCKQ,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Discharge Point  Manufacturing,,Line Strike,Unknown / N/A
8/17/2021,11:30 AM,1-13LJNP,CLARINGTON,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Unknown / N/A,Equipment failure/malfunction
8/17/2021,1:31 PM,1-13LQ8C,SAULT STE. MARIE,PARTICULATES (NOT OTHERWISE SPECIFIED),Air,1 Minor Health Impact,1 Minor Impact,,IRON AND STEEL MILLS AND FERRO-ALLOY MANUFACTURING,Discharge Point  Manufacturing,,Process Upset,Equipment failure/malfunction
8/17/2021,1:40 PM,1-13LQK4,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/16/2021,8:51 AM,1-13GUDY,BROCKTON,SEWAGE SLUDGE,Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/16/2021,12:14 PM,1-13I4LW,GREATER SUDBURY,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/16/2021,1:25 PM,1-13I4MX,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/15/2021,10:55 AM,1-13EXH3,HAMILTON,"GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL, WITH NOT MORE THAN 10% ALCOHOL",Surface Water,1 Minor Health Impact,1 Minor Impact,,No-Natural Disaster,Watercraft/Vessel,,Accident/Collision,Human error
8/15/2021,5:33 PM,1-13FXPD,FORT ERIE,SEWAGE SLUDGE,Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/13/2021,2:05 PM,1-13B8VU,ST. MARYS,"FAT, OIL AND GREASE",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,FAT AND OIL REFINING AND BLENDING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/12/2021,1:04 PM,1-136U8I,WEST GREY,USED MOTOR OIL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Motor Vehicle,,Unknown / N/A,Unknown / N/A
8/9/2021,6:01 PM,1-12YCET,SELWYN,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,0 No Impact,,Unknown / N/A,Sewage Treatment,,Overflow/Surcharge,Equipment failure/malfunction
8/8/2021,11:00 AM,1-12TEYC,LAMBTON SHORES,"MANURE (PIG, LIQUID, ETC.)",Surface Water,1 Minor Health Impact,1 Minor Impact,,HOG AND PIG FARMING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/8/2021,1:58 PM,1-12TNVN,SARNIA,"OIL (PETROLEUM BASED, NOT SPECIFIED)",Surface Water,1 Minor Health Impact,1 Minor Impact,,OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,Unknown / N/A,,Accident/Collision,Human error
8/8/2021,2:58 PM,1-12U4CI,OAKVILLE,"SEWAGE, RAW CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Power Outage,Equipment failure/malfunction
8/6/2021,11:26 PM,1-12JBXV,WIARTON,"SEWAGE, FINAL EFFLUENT CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Unknown / N/A,Human error
8/5/2021,6:29 PM,1-12HI2P,CAMBRIDGE,PARAFFINIC OIL,Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,ENGINEERING SERVICES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/4/2021,11:03 AM,1-12BLKI,UXBRIDGE,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,SHORT-HAUL FREIGHT RAIL TRANSPORTATION,Truck - Only Saddle Tanks,,Accident/Collision,Unknown / N/A
8/3/2021,7:06 PM,1-1283PD,LONDON,DOUSE WATER (PARTICULATE CONTAMINANT),Air; Land; Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
8/3/2021,7:27 PM,1-1284I4,EDWARDSBURGH-CARDINAL,TRANSFORMER OIL (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,ELECTRIC POWER DISTRIBUTION,Unknown / N/A,,Leak/Break,Human error
8/2/2021,8:45 PM,1-123HT1,EAR FALLS,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Wastewater Treatment Facility,,Power Outage,Power outage/loss
7/30/2021,11:01 AM,1-11ZEZ5,CAMBRIDGE,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,AUTOMOBILE AND LIGHT-DUTY MOTOR VEHICLE MANUFACTURING,Sewer (Private or Municipal),,Overflow/Surcharge,Unknown / N/A
7/30/2021,1:49 PM,1-11YRYC,ENNISKILLEN,NATURAL GAS,Air,1 Minor Health Impact,0 No Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error (Line Strike)
7/27/2021,7:56 PM,1-11QEBY,MAPLETON,MANURE,Land,1 Minor Health Impact,1 Minor Impact,,ALL OTHER MISCELLANEOUS CROP FARMING,Truck - Transport/Hauling,,Leak/Break,Equipment failure/malfunction
7/26/2021,3:34 PM,1-11NE8M,ASHFIELD-COLBORNE-WAWANOSH,OIL AND GREASE,Ground Water; Land,1 Minor Health Impact,1 Minor Impact,,"CONSTRUCTION, TRANSPORTATION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",Unknown / N/A,,Unknown / N/A,Unknown / N/A
7/25/2021,1:00 PM,1-11JWZ7,BRANTFORD,FUNGICIDE,Land,1 Minor Health Impact,1 Minor Impact,,OTHER GRAIN FARMING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
7/23/2021,4:54 PM,1-114SEN,STRATHROY-CARADOC,DRILL MUD (BENTONITE & WATER),Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Overflow/Surcharge,Human error
7/21/2021,8:09 AM,1-10GX26,TIMMINS,"AMMONIA, ANHYDROUS",Air,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Container/Drum/Tote,,Unknown / N/A,Unknown / N/A
7/20/2021,5:48 PM,1-103PSG,CENTRAL ELGIN,WASTE OIL/WATER (N.O.S),Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,"TRUCK, UTILITY TRAILER AND RECREATIONAL VEHICLE (RV) RENTAL AND LEASING",Unknown / N/A,,Unknown / N/A,Unknown / N/A
7/19/2021,1:03 PM,1-Z6E8L,THUNDER BAY,DIESEL FUEL,Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Unknown / N/A,,Unknown / N/A,Unknown / N/A
7/19/2021,3:06 PM,1-ZAI5Z,GODERICH,BRINE WATER,Land,1 Minor Health Impact,2 Minor Impact &/or Mortality,,SALT MINING,Tank - Above Ground,,Leak/Break,Equipment failure/malfunction
7/19/2021,9:15 PM,1-ZBXQ2,TORONTO,SEDIMENT,Surface Water,1 Minor Health Impact,1 Minor Impact,,LANDSCAPING SERVICES,Non-Point Source,,Other,Human error
7/16/2021,4:16 AM,1-XXKM4,SELWYN,DOUSE WATER (PARTICULATE CONTAMINANT),Land,1 Minor Health Impact,1 Minor Impact,,OTHER PERSONAL CARE SERVICES,Structure/Silo,,Unknown / N/A,Fire
7/16/2021,10:51 AM,1-Y223N,GUELPH,"SEWAGE, PRIMARY UNCHLORINATED",Surface Water,2 Medium Health Impact,3 Medium Impact with Mortality,,SEWAGE TREATMENT FACILITIES,Pipeline/Components,,Leak/Break,Improper design
7/16/2021,11:08 AM,1-Y3X05,WINDSOR,"SEWAGE, PRIMARY CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Other,Equipment failure/malfunction
7/15/2021,2:33 PM,1-XSQL5,BRAMPTON,"METHANE, COMPRESSED",Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
7/15/2021,4:51 PM,1-XVGZG,BARRIE,NATURAL GAS,Air,2 Medium Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Weather Event,Unknown / N/A
7/14/2021,6:45 PM,1-XJTQL,SAULT STE. MARIE,HYDROCARBON (DUST/SMOKE),Land,1 Minor Health Impact,3 Medium Impact with Mortality,,"GENERAL FREIGHT TRUCKING, LOCAL",Truck - Transport/Hauling,,Unknown / N/A,Unknown / N/A
7/13/2021,3:52 PM,1-WIMDB,KITCHENER,"SEWAGE, PRIMARY UNCHLORINATED",Land; Surface Water,1 Minor Health Impact,3 Medium Impact with Mortality,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Leak/Break,Unknown / N/A
7/13/2021,4:25 PM,1-WIRTP,PRINCE EDWARD COUNTY,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Leak/Break,Unknown / N/A
7/13/2021,5:32 PM,1-WKC9B,WINDSOR,CHEMICAL KIT,Land,1 Minor Health Impact,0 No Impact,,Unknown / N/A,Container/Drum/Tote,,Unknown / N/A,Unknown / N/A
7/12/2021,10:53 AM,1-VHTO8,ST. CATHARINES,DOUSE WATER (PARTICULATE CONTAMINANT),Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
7/11/2021,2:25 PM,1-UQCNE,TORONTO,DIESEL FUEL,Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,MARINAS,Fuel Pump,,Overfill,Equipment failure/malfunction
7/9/2021,4:54 PM,1-SYVSX,TYENDINAGA,DIESEL FUEL,Land,1 Minor Health Impact,3 Medium Impact with Mortality,,"GENERAL FREIGHT TRUCKING, LOCAL",Truck - Transport/Hauling,,Accident/Collision,Unknown / N/A
7/8/2021,1:28 PM,1-SGRP3,TORONTO,FOAM RUBBER BOWLS,Air; Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,ALL OTHER MISCELLANEOUS MANUFACTURING,Storage Facility,,Unknown / N/A,Unknown / N/A
7/1/2021,10:13 PM,1-PH6I8,NORTH PERTH,NATURAL GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
6/30/2021,6:39 AM,1-OZE9O,LONDON,SMOKE,Air,1 Minor Health Impact,1 Minor Impact,,WASTE COLLECTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
6/30/2021,11:18 AM,1-P9E0P,SEVERN,GEAR OIL,Surface Water,1 Minor Health Impact,1 Minor Impact,,HYDRO-ELECTRIC POWER GENERATION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
6/24/2021,7:36 PM,1-MR0IP,ASHFIELD-COLBORNE-WAWANOSH,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Sewage Treatment,,Leak/Break,Blockage (Specify cause)
