Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Broadband,Infrastructure,CHATHAM-KENT,Erie Beach SWIFT Broadband Project,Under construction,23-Apr,New broadband construction,Providing reliable internet access,CHATHAM-KENT,Southwest,,N0P 1A0,,"$9,402,964 ",,,,,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.3125419,-81.9496445,
Recreation,"Tourism, Culture and Sport",CHATHAM-KENT,Chatham-Kent M,Under construction,23-May,"Our Municipality, with a $429,600 Community Building Fund – Capital stream grant over 12 months, will address a community need by retrofitting existing municipal parks with new pickleball courts, which includes adding new fences, nets and accessible sidewalks. ",,CHATHAM-KENT,Southwest,701 McNaughton Ave W.,N7L 5P7,,"$429,600 ",,Yes,,,,42.398949,-82.224007,
Communities,Transportation,CHATHAM-KENT,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,CHATHAM-KENT,Southwest,33 3rd St,,,0,,,,,,42.40417,-82.18948,
Communities,Transportation,CHATHAM-KENT,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,CHATHAM-KENT,Southwest,710 Richmond St,,,0,,,,,,42.38633,-82.20591,
Roads and bridges,Transportation,CHATHAM-KENT,"Hwy 401 from Tilbury to London, 0.55 km east of Essex Rd. 42 to 1.8 km west Chatham-Kent Rd. 7 (Merlin Rd.), County of Essex, Contract 1",Under construction,2022,"Hwy 401 widening and installation of median barriers from Essex Rd. 42 to Merlin Rd., bridge rehabilitation of Baptist Creek Bridge, Little Baptist Creek Bridge, Tilbury Creek Bridge, McDougall Drain Bridge and Queen St. Bridge","Four to six-lane widening, Median barriers, Bridge rehabilitation",CHATHAM-KENT,Southwest,,,Highway 401,0,,Yes,,,,42.30638561,-82.31877868,
Roads and bridges,Transportation,CHATHAM-KENT,Rehabilitation of Grand Avenue East (Chatham),Under construction,23-Mar,,,CHATHAM-KENT,Southwest,,,40,"$3,000,000 ",,Yes,,,,42.422255,-82.167753,
Transit,Transportation,CHATHAM-KENT,Transit Information and Technology Upgrades,Planning,24-Mar,"Install new real-time vehicle location technology, fare-systems technology, and customer communication platforms.",Improved quality and efficiency of the public transit system.,CHATHAM-KENT,Southwest,,,,"$937,468 ",Yes,Yes,Yes,,,,,
Transit,Transportation,CHATHAM-KENT,Purchase of Public Transit Vehicles,Planning,23-Aug,Purchase 5 small-to-medium sized buses and 5 accessible vans.,Expanded capacity and service levels for the public transit system.,CHATHAM-KENT,Southwest,,,,"$1,819,041 ",Yes,Yes,Yes,,,,,
Transit,Transportation,CHATHAM-KENT,Transit Terminal and Bus Shelter Purchases and Rehabilitation,Planning,25-Jun,"Upgrades to the main bus terminal (including a fully accessible, enclosed area) and the installation of six new solar powered bus shelters on inter-urban routes will provide transit users with a more comfortable and accessible public transit experience.",This project will provide transit users with a more comfortable and accessible public transit experience,CHATHAM-KENT,Southwest,,,,"$2,181,280 ",Yes,Yes,Yes,,,,,
Communities,Infrastructure,CHIPPEWAS OF KETTLE AND STONY POINT FIRST NATION,Chippewas of Kettle and Stony Point Water Treatment Plant.,Planning,2022,Design and plan for upgrades to the water treatment plant and distribution system.,Increased capacity for demand growth and development.,,Southwest,6239 Indian Lane,N0N 1J1,,"$159,750 ",,Yes,Yes,Yes,,43.17884,-81.998354,
Roads and bridges,Infrastructure,CHIPPEWAS OF NAWASH FIRST NATION,Chippewas of Nawash First Nation Community Road Repairs ,Planning,2020,Repair roads and replace culverts in the Chippewas of Nawash First Nation Community.,,,Southwest,,,,"$3,912,020 ",,Yes,Yes,Yes,,44.930982,-81.029349,
Child care,Education,CLARENCE-ROCKLAND,École élémentaire catholique Sacré-Cœur,Under construction,2022,Renovation of existing school,Renovation to accommodate 15 child care spaces,PRESCOTT AND RUSSELL,East,2233 DOLLARD ST,K0A 1E0,,"$375,315 ",,Yes,,Yes,,45.43703,-75.15782,
Communities,Transportation,CLARENCE-ROCKLAND,Electric Vehicle Charging Station at St. Hubert,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,PRESCOTT AND RUSSELL,East,9071 County Rd 17,,,0,,,,,,45.54799,-75.3017,
Education,Education,CLARINGTON,Northglen Public Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 769 students in a growing community, including the construction of 73 child care spaces",DURHAM,Central,NORTHGLEN BLVD / EDWIN CARR ST,,,"$19,944,512 ",,Yes,,,,43.93732858,-78.70880477,
Health care,Health,CLARINGTON,Lakeridge Health - Bowmanville Site Redevelopment ,Planning,29-Jun,"Renovation and expansion for the emergency department, inpatient units, and the diagnostic imaging department at the Bowmanville site.",Expanded programs and services capacity ,DURHAM,Central,47 Liberty St S,L1C 2N4,,0,,Yes,,Yes,,43.908842,-78.677997,
Communities,Infrastructure,CLARINGTON,Eiram Stormwater Management Pond Retrofit and Rehabilitation – GIS,Planning,2021,"The project will construct a forebay to the stormwater pond, restore the storm sewer inlet and outlet control structure, replace the stone jacket around the detention control device, remove accumulated sediment and improve road access to the pond.","The upgrades will restore the functionality of the pond, improve stormwater management and treatment, and reduce the potential for structural failure that could lead to downstream flooding.",DURHAM,Central,40 Temperance Street/Rue,L1C3A6,,"$239,610 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,43.93146,-78.677914,
Communities,Transportation,CLEARVIEW,Electric Vehicle Charging Station at Clearview Information and Tourism Centre,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,SIMCOE,Central,220 Huron St,,,0,,,,,,44.418931,-80.086491,
Communities,"Agriculture, Food and Rural Affairs",COBOURG,Midtown Creek Flood Detention Pond,Under construction,2021,Construction of a stormwater management system at Midtown Creek. ,Flood damage mitigation,NORTHUMBERLAND,East,Midtown Creek,,,"$833,332 ",Yes,Yes,Yes,,,43.962708,-78.183083,
Education,Education,COBOURG,école élémentaire catholique Cobourg,Planning,26-Sep,Construction of new school,"New facility to accommodate 259 underserved French-language students, including the construction of 49 child care spaces",NORTHUMBERLAND,East,950 NEW AMHERST BLVD,K9A 0B2,,"$10,082,998 ",,Yes,,,,43.96779706,-78.21224375,
Transit,Transportation,COBOURG,Replacement of Rolling Stock,Planning,27-Dec,"Purchase 2 new conventional 30-foot diesel transit buses, and one new 8-meter low-floor specialized diesel vehicle to replace older buses that are nearing the end of their life cycle.",Improved accessibility to the town's transit system.,NORTHUMBERLAND,East,,,,"$1,240,454 ",Yes,Yes,Yes,,,,,
Communities,Infrastructure,COCHRANE,5th Avenue - Sanitary and Storm System Reconstruction,Planning,2021,"Rehabilitation and replacement of 840 metres of sanitary sewer, constructing 240 metres of storm sewers, manholes and catch basins, and improvement of 330 metres of road and sidewalks. The work will help eliminate local flooding and reduce health and safety risks in the community.",,COCHRANE,Northeast,171 Fourth Avenue,P0L1C0,,"$1,921,800 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,49.03,-81.01,
Roads and bridges,Transportation,COCHRANE DISTRICT,"Deception Creek and Smith Creek Bridges, south of Hunta",Under construction,2022,Bridge replacement,,COCHRANE,Northeast,,,,0,,Yes,,,,49.15735,-81.27221,
Roads and bridges,Infrastructure,COLEMAN,Replacement of Larose Bridge,Planning,2021,"This project involves the removal of the existing Larose Bridge and replacement with a new 87.9-m, three-span structure with a sidewalk.",,TIMISKAMING,Northeast,937907 Marsh Bay Road,P0J1C0,,"$4,656,569 ",Yes,Yes,Yes,,,47.398503,-79.676474,
Health care,Health,COLLINGWOOD,Collingwood General & Marine Hospital - Hospital Redevelopment,Planning,27-Aug,The project includes renovation and will add to the current Hosptial on site. will relocate the hospital to a new site. ," The project will address aging infrastructure and allow for expansion of the intensive care, inpatient care, emergency, obstetrics and the operating suite.",SIMCOE,Central,"459 Hume St, Collingwood",L9Y 1W9,,0,,Yes,,Yes,,44.50005257,-80.20349273,
Roads and bridges,Infrastructure,COLLINGWOOD,Reconstruction of Mountain Road,Planning,24-Nov,"The reconstruction of 1.2 kilometres of Mountain Road between Tenth Line and Cambridge Street will improve safety for cyclists and pedestrians, and support better traffic flow.",,SIMCOE,Central,97 Hurontario Street/Rue,L9Y3Z5,,"$4,166,499 ",Yes,Yes,Yes,,,44.5005,-80.2475,
Recreation,"Tourism, Culture and Sport",COLLINGWOOD,Collingwood T,Under construction,23-Jan,"Our Municipality, with a $394,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by repairing and tiling the main pool at the Centennial Aquatic Centre to eliminate need for repainting and maximize use of the facility. ",,SIMCOE,Central,451 Third Street,L9Y 1L9,,"$394,000 ",,Yes,,,,44.497708,-80.230793,
Communities,Transportation,COLLINGWOOD,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,SIMCOE,Central,4 High St Collingwood,,,0,,,,,,44.49996,-80.23585,
Transit,Transportation,COLLINGWOOD,Transit Fleet Renewal and Replacement,Planning,27-Jul,"Purchase 8 new diesel buses, 7 conventional and one para transit buses, over an eight-year period as well as renewing major power train components to extend the useful life of six buses. ",Improved accessibility and reliability of the transit fleet with less downtime and delays attributed to an aging fleet.,SIMCOE,Central,,,,"$4,726,500 ",Yes,Yes,Yes,,,,,
Communities,Infrastructure,CONSTANCE LAKE FIRST NATION,Optimizing Seasonal Lagoons Discharge.,Under construction,23-Mar,Feasibility study to determine if gravity discharge of the lagoons is possible or if installing bigger pumps is the best solution in order to be able to discharge seasonally.,Ensure that untreated wastewater does not enter the environment and negatively impact surrounding communities.,,Northeast,,P0L 1B0,,"$56,250 ",,Yes,Yes,Yes,,49.809822,-84.128664,
Communities,Infrastructure,CONSTANCE LAKE FIRST NATION,Seasonal wastewater lagoon optimization ,Under construction,23-Mar,Upgrade the seasonal wastewater lagoon to be able to discharge the seasonal wastewater according to regulation.,Ensure that untreated wastewater does not enter the environment and negatively impact surrounding communities.,,Northeast,,P0L 1B0,,"$74,508 ",,Yes,Yes,Yes,,49.809822,-84.128664,
Child care,Education,CORNWALL,École élémentaire catholique Marie-Tanguay,Under construction,2022,Expansion of existing school,Addition to accommodate 10 child care spaces,"STORMONT, DUNDAS AND GLENGARRY",East,1500 HOLY CROSS BLVD,K6H 2X1,,"$608,536 ",,Yes,,,,45.03619,-74.69659,
Education,Education,CORNWALL,New Cornwall Public Secondary School,Planning,25-Jan,Construction of new school,New facility to accommodate 1400 students as a result of a consolidation,"STORMONT, DUNDAS AND GLENGARRY",East,TBD,TBD,,"$39,062,944 ",,Yes,,,,,,
Broadband,Infrastructure,CORNWALL,Eastern Ontario Regional Network (EORN) Cellular Gap Project,Under construction,25-Aug,"Description: A regional project adding new cellular infrastructure to increase network coverage and capacity across eastern Ontario. Note that the funding listed below is for the entire project, not just this municipality. ","Expanding reliable cellular services which are essential to support economic development, improve public safety and connect with others","STORMONT, DUNDAS AND GLENGARRY",East,,,,"$300,000,000 ",Yes,Yes,Yes,Yes,https://www.eorn.ca/en/projects/improving-cell-service.aspx,45.020532,-74.730711,
Communities,Infrastructure,CORNWALL,A safe and functional community Hub – CCRIS,Planning,28-Nov,"Building improvements include installing a new electrical panel, creating a new septic system for the north side of the building, repairing the brick work, replacing the handicap entry ramp, improving ventilation, and replacing the water tank.","These renovations will improve the overall condition of the centre, and create a more welcoming, safe and comfortable environment for clients, most of whom are elderly, staff, and the not-for-profit organizations that use the facility.","STORMONT, DUNDAS AND GLENGARRY",East,"146b, avenue Chevrier",K6H1S1,,"$305,786 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,45.019966,-74.71336,
Roads and bridges,Infrastructure,CORNWALL,Upgrades to a Section of Lemay Street,Planning,2022,"The reconstruction and widening of a major road, which includes adding bike lanes, sidewalks and a roundabout, will increase the safety of pedestrians and will improve the city's active transportation routes.",,"STORMONT, DUNDAS AND GLENGARRY",East,360 Pitt Street/Rue,K6H5T9,,"$2,494,900 ",Yes,Yes,Yes,,,45.035577,-74.736827,
Communities,Transportation,CORNWALL,Electric Vehicle Charging Station at St. Hubert,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,"STORMONT, DUNDAS AND GLENGARRY",East,705 Brookdale Ave,,,0,,,,,,45.0222,-74.74673,
Roads and bridges,Transportation,CORNWALL,Reconstruction of Brookdale Avenue,Under construction,23-Mar,,,"STORMONT, DUNDAS AND GLENGARRY",East,,,138,"$1,612,557 ",,Yes,,,,45.045278,-74.767292,
Transit,Transportation,CORNWALL,Replacement Conventional and Para Transit Buses,Planning,27-Mar,"Replace 12 conventional transit buses and 8 specialized paratransit buses, all diesel, from 2020 to 2027 inclusive.","Reduce average age of present transit fleet, from 7 years to 5 years. ","STORMONT, DUNDAS AND GLENGARRY",East,,,,"$11,958,215 ",Yes,Yes,Yes,,,45.016689,-74.750277,
Transit,Transportation,CORNWALL,Electronic Fareboxes,Planning,2022,Install new electronic fareboxes on 26 buses. ,Provide modern payment options for passengers and increased accuracy in passenger and revenue data collection. ,"STORMONT, DUNDAS AND GLENGARRY",East,,,,"$1,300,005 ",Yes,Yes,Yes,,,,,
Transit,Transportation,CORNWALL,Bus Shelters and Bus Stop Accessibility,Under construction,25-Mar,Install new bus shelters at high traffic locations and install concrete pads making 60 bus stops fully accessible.,Improved boarding accessibility to conventional buses.,"STORMONT, DUNDAS AND GLENGARRY",East,,,,"$264,705 ",Yes,Yes,Yes,,,,,
Communities,Infrastructure,COUCHICHING FIRST NATION,Couchiching First Nation ,Planning,23-Oct,Stormwater management infrastructure upgrades,,,Northwest,107 Highway 11,P9A3M3,,"$2,727,162 ",Yes,Yes,Yes,,,48.634167,-93.359722,
Communities,Infrastructure,CURVE LAKE FIRST NATION,Curve Lake Catch Basin and Roads Stormwater Improvements,Planning,2022,Rehabilitate drainage and enhance traffic flow along 14.2 kilometres of Mississauga Road. , Reduce the risk of storm water flooding by redirecting water run-off away from roads and people's homes.,,East,General Delivery,K0L1R0,,"$722,874 ",Yes,Yes,Yes,,,44.508029,-78.363111,
Communities,Infrastructure,DAWN-EUPHEMIA,Replacement of 350 Water System Meters,Under construction,22-Dec,Replace approx. 350 end-user meters with new ones. ,"More accurate consumption records, encourage conservation and enhance system revenues which will be used for ongoing improvements.",LAMBTON,Southwest,4591 Lambton Line,N0P 1M0,,"$75,000 ",Yes,Yes,Yes,,,42.615479,-82.178406,
Communities,Infrastructure,DEEP RIVER,Huron Street Sanitary Sewer Main Relining,Under construction,23-Sep,Reline a section  of  sanitary sewer along  Huron Street that is in very poor condition and is at risk of collapse.,Improved municipal sanitary sewer service for the residents of Huron Street,RENFREW,East,,,,"$18,300 ",Yes,Yes,Yes,,,46.100715,-77.495273,
Communities,Transportation,DEEP RIVER,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,RENFREW,East,33235 Hwy 17,,,0,,,,,,46.09945,-77.49781,
Recreation,Infrastructure,DESERONTO,Rehabilitation and Renovation of a Community Centre,Planning,2021,"Improvements to the Deseronto Community Centre include repairing the roof, HVAC system, and the north wall of the facility. Additionally, the project includes the creation of an outdoor sports pad for multi-use recreation, the addition of a barrier-free entrance, and renovations to the canteen and spectator seating to improve accessibility.",,HASTINGS,East,"331 Main Street,",K0K1X0,,"$673,050 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60961/canada-and-ontario-invest-in-more-accessible-recreation-and-transit-infrastructure-in-the-counties-o-2,44.191997,-77.059738,
Transit,Transportation,DESERONTO,"New Buses, Shelters and Security Technology",Planning,2022,"Purchase 2 19-passenger accessible gasoline buses, a 10-passenger specialized van, install 2 new passenger transit shelters, and purchase interior and exterior security cameras.","Improved capacity, quality and safety of the transit system.",HASTINGS,East,,,,"$385,327 ",Yes,Yes,Yes,,,,,
Communities,Infrastructure,DOKIS FIRST NATION,Lagoon Expansion,Planning,23-Jun,Implementation of a pre-treatment system and installation of electricity on-site.,"Enable the lagoon to meet current federal and provincial discharge requirements, reduce the accumulation of wastewater sediment and help meet current and future wastewater treatment demands.",,Northeast,940 MAIN Street,P0M2N1,,"$2,398,814 ",Yes,Yes,Yes,,,46.120627,-80.058629,
Broadband,Infrastructure,DRUMMOND-NORTH ELMSLEY,Drummond-North Elmsley ICON Project,Planning,23-Feb,New broadband construction by the Westport Telephone Company,Providing reliable internet access,LANARK,East,,,,"$1,401,048 ",,Yes,,Yes,,44.8571873,-76.184153,
Recreation,Infrastructure,DRYDEN,Dryden Recreation Centre,Planning,2022,"Add four, accessible change rooms; a new multi-purpose space with washrooms and an elevator; and upgrades to various mechanical components","Iiproved access to recreational activities and the ability to host events, extend the life of the building and reduce operating costs.",KENORA,Northwest,30 Van Horne Avenue/Autre,P8N2A7,,"$4,915,152 ",Yes,Yes,Yes,,,49.780516,-92.839022,
Recreation,Infrastructure,DRYDEN,Dryden Go-Getter Senior Activity Centre,Planning,22-Dec,"Build a 2,500 square foot addition to the building , full renovation and replacement of appliances in existing kitchen and change existing vestibule to an office.",The updates will provide seniors with a safer and more accessible space for activities.,KENORA,Northwest,84 St. Charles Street,P8N1L3,,"$1,204,690 ",Yes,Yes,Yes,,,49.780516,-92.839022,
Communities,"Tourism, Culture and Sport",DRYDEN,Dryden C,Under construction,23-May,"Our Municipality, with a $185,100 Community Building Fund – Capital stream grant over 12 months, will address a community need by removing and replacing aged asphalt surface and painting appropriate lines for tennis and pickleball courts to promote community use. ",,KENORA,Northwest,Morrison Ave.,P8N 1N2,,"$185,100 ",,Yes,,,,49.779358,-92.827421,
Roads and bridges,Transportation,DRYDEN,Detailed Design for Signalized Intersection Studies & Replacement,Planning,2021,,,KENORA,Northwest,,,Highway 17&594,"$112,000 ",,Yes,,,,49.786167,-92.821352,
Roads and bridges,Transportation,DRYDEN,Traffic Signal Replacements along Duke Street (Highway 594) and Government Street (Highway 17) (8 Sets),Under construction,23-Mar,,,KENORA,Northwest,,,17 & 594,"$1,199,520 ",,Yes,,,,49.78616,-92.82127,
Broadband,"Agriculture, Food and Rural Affairs",DUFFERIN COUNTY,High Speed Internet Expansion,Planning,23-Jun,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,DUFFERIN,Central,,,,0,,,,,,,,
Broadband,Infrastructure,DUFFERIN COUNTY,Marsville SWIFT Broadband Project,Under construction,2022,New broadband construction by Cogeco,Providing reliable internet access for 145 premises,DUFFERIN,Central,,L9W 7B5,,"$866,636 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.8010098,-80.2510415,
Broadband,Infrastructure,DUFFERIN COUNTY,Horning's Mills SWIFT Broadband Project,Under construction,2022,New broadband construction by EhTel,Providing reliable internet access for 649 premises,DUFFERIN,Central,,L0N 1J0,,"$3,948,048 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,44.1753357,-80.173824,
Broadband,Infrastructure,DURHAM,Regional Broadband Network Project,Planning,24-Jun,New broadband construction by Oshawa Power & Utilities Corp,Providing reliable internet access,DURHAM,Central,,,,"$42,796,692 ",Yes,Yes,Yes,Yes,,44.0183101,-78.8490135,
Communities,Infrastructure,DURHAM,Watermain replacement,Under construction,2018,"Replace watermain pipes  on King St from Arthur St to Dunlop St., James St from Kings St. to Centre St., and Ontario St. W. from Henry St. to King St.",Improved water quality and system security for a service that serves 70 households.,DURHAM,Central,"King St from Arthur St to Dunlop St., / James St from Kings St. to Centre St., / Ontario St. W. from Henry St. to King St.",,,"$930,750 ",Yes,Yes,Yes,,,43.897545,-78.942933,
Communities,Infrastructure,DURHAM,Sanitary sewer replacement,Under construction,2018,"Replacing sanitary sewer pipes  on King St from Arthur St to Dunlop St., James St from Kings St. to Centre St., and Ontario St. W. from Henry St. to King St.",Improved sewer service to 70 households,DURHAM,Central, King St from Arthur St to Dunlop St. / James St from Kings St. to Centre St. / Ontario St. W. from Henry St. to King St.,,,"$742,500 ",Yes,Yes,Yes,,,43.897545,-78.942933,
Communities,Infrastructure,DURHAM,Watermain replacement,Under construction,22-Dec,Replace the existing watermain  crossing Hwy 401 east of Brock St. with a larger one.,"Greater water capacity to support growth north of Highway 401, and increased water system security.",DURHAM,Central,,,,"$1,200,000 ",Yes,Yes,Yes,,,43.862222,-78.923167,
Communities,Transportation,DURHAM,Electric Vehicle Charging Station at Claremont Field Centre,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 2 charging station,DURHAM,Central,4290 Westney Rd N,,,0,,,,,,43.9579128,-79.0799888,
Roads and bridges,Transportation,DURHAM,"Hwy 401 westbound, west of Stevenson Rd. to west of Courtice Rd., Oshawa Creek, Oshawa",Under construction,2021,"Bridge rehabilitation, Bridge replacement, Resurfacing",,DURHAM,Central,,,,0,,Yes,,,,43.87886796,-78.76357536,
Transit,Transportation,DURHAM,"Detailed Design and Construction of Bus Rapid Transit Lanes in the Town of Ajax, Town of Whitby and the City of Oshawa",Planning,26-Dec,"The design and construction of Bus Rapid Transit lanes with active transportation corridors on Kingston Rd. in the Town of Ajax, Dundas St. in the Town of Whitby, and Downtown Oshawa. ","New cycling lanes and multi-use paths will connect to the transit stations along the corridors, providing residents with more options for accessing the transit system. ",DURHAM,Central,,,,"$71,695,000 ",Yes,Yes,Yes,,,43.8532694|43.8563365|43.8578171|43.8634708|43.8712039|43.8741898|43.8785844|43.8844415|43.8909052|43.8969726|43.8982056|43.8991091|43.8971471|43.8959440|43.8945895|43.8937685|43.8932334|43.8925363|43.8924337,-79.0600865|-79.0471504|-79.0405074|-79.0157336|-78.9806944|-78.9669455|-78.9470646|-78.9213585|-78.8926098|-78.8655391|-78.8604038|-78.8609633|-78.8694517|-78.8749622|-78.8803056|-78.8840223|-78.8854283|-78.8863955|-78.8864875,
Transit,Transportation,DURHAM,Simcoe Street Rapid Transit Corridor,Planning,23-Dec,"Construct a 10-kilometre north-south bus rapid transit corridor along Simcoe Street from Royal Street north to Highway 407, as well as purchase 8 buses and install new bus shelters.",Improved service reliability along the transit corridor. ,DURHAM,Central,,,,"$12,635,001 ",Yes,Yes,Yes,,,"43.9666231,0|43.9482176|43.9476365|43.9464646|43.9428602|43.9372812|43.9351376|43.9151374|43.9141896|43.9034263|43.8885455|43.8884236",-78.9043135|-78.8962558|-78.8956239|-78.8940541|-78.8886584|-78.8808214|-78.8798215|-78.8710989|-78.8709416|-78.8661301|-78.8593747|-78.8593632,
Transit,Transportation,DURHAM,Hybrid Electric Buses,Planning,23-Dec,Purchase 11 hybrid electric buses.,"Reduced emissions and fuel costs while providing transit users with a modern, safe, and efficient transit system.",DURHAM,Central,,,,"$9,900,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,Bus Stop Improvements ,Planning,23-Dec,Resurface unpaved bus stops and install accessible bus shelters with solar lighting.,"Improved accessibility, safety and comfort for transit users. ",DURHAM,Central,,,,"$9,744,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,Bus Replacement,Planning,23-Dec,Purchase 13 40-foot buses equipped with fare payment collection technology.,"Provide transit users with a modern, safe and efficient fleet.",DURHAM,Central,,,,"$9,405,001 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,Durham Region Transit Operations Building,Planning,23-Dec,"Construct a 7,500 square foot transit operations building that meets accessibility and energy efficiency standards. ",Higher quality public transit system.,DURHAM,Central,,,,"$5,000,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,On-Demand Service Bus Replacement,Planning,24-Dec,Purchase 16 mini buses used for on-demand and specialized transit services.,"Provide a modern, safe and efficient transit fleet.",DURHAM,Central,,,,"$3,172,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,Articulated Buses,Planning,2022,Purchase two articulated buses for the region's PULSE rapid transit fleet.,Increased capacity along the high-volume bus rapid transit corridor.,DURHAM,Central,,,,"$2,250,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,Transit Operator Protective Shields,Planning,23-Dec,Install protective shields on the Durham public transit bus fleet.,Improved safety for operators and transit users.,DURHAM,Central,,,,"$1,225,001 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,On-Board Destination Sign Upgrades,Planning,2022,Replace the on-board destination signs on the Durham Region Transit bus fleet with bigger and brighter signs with Wi-Fi enabled digital controls.,Improved accessibility and visibility of destinations for customers.,DURHAM,Central,,,,"$750,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,Advanced Fuel and Fluid Management System,Planning,22-Dec,Install sensors that measure fuel and fluid consumption levels  on the fleet vehicles that will be tracked by a new central monitoring system.,Improved the performance of the bus fleet.,DURHAM,Central,,,,"$500,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,"Construction of Median BRT Lanes on Highway 2, City of Pickering",Planning,26-Dec,"Detailed design and construction of 7.5 km of dedicated median transit lanes, 20 median transit shelters/stops, and 7.5 km of dedicated off-road one-way bike lanes along Highway 2 through the City of Pickering. ",Improved capacity,DURHAM,Central,,,,"$114,570,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,DURHAM,Rouge River Bridge Works,Under construction,Mid 2022,GO Expansion - Early Works,Rehabilitation of the Rouge River open deck bridge. ,DURHAM,Central,,,,0,,,,,https://www.blog.metrolinx.com/2021/09/17/historic-rouge-river-bridge-to-get-new-lease-on-life-in-the-name-of-go-transit-expansion/,43.79450496,-79.11819879,
Recreation,Infrastructure,DUTTON-DUNWICH,Dutton Dunwich Community Pool Rehabilitation,Planning,2021,"Rehabilitation of the pool includes cutting the existing deck into slabs and removing them, trenching the pool deck for new plumbing lines, backfilling the new lines with sand and gravel, pouring concrete deck, sawing concrete for stress cracking, increasing visibility from guard office to pool area by adding windows, and replacing the existing entrances as well as providing more access options.",,ELGIN,Southwest,199 Currie Road,N0L1J0,,"$156,982 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.662964,-81.505559,
Roads and bridges,Infrastructure,DUTTON-DUNWICH,Ash Line Culvert Replacement and Resurfacing,Planning,2021,The installation a 42-metre culvert and rehabilitation of 800 metres of Ash Line will improve road infrastructure.,,ELGIN,Southwest,199 Currie Road,N0L1J0,,"$1,117,846 ",Yes,Yes,Yes,,,42.617248,-81.468001,
Recreation,Infrastructure,DYSART ET AL,Rotary Beach Park Rehabilitation – CCRIS,Planning,2022,"Project work will improve overall park infrastructure, which includes repairing the surface of tennis, basketball, and pickle ball courts; improving the accessibility of pathways, docks, courts, and picnic areas; and rehabilitating the exterior of the storage building. Further improvements include installing a play structure, a rain garden, a bike rack, and creating an off-leash dog park. A tree study will also take place to ensure adequate management of shade, soil water retention, and erosion control. A wi-fi network will also be established.","These improvements will provide an accessible, modern, and safe recreation area for residents and visitors, while supporting various community, cultural and sporting events.",HALIBURTON,East,P.O. Box 389,K0M1S0,,"$300,000 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,45.2396,-78.4264,
